slug,family,task_verdict,observed_direction,potential_direction,primary_mechanism,release_classes,defect_classes,confidence,gameable,correct_solution_blocked,tests_verify_instruction,stub_would_pass,n_runs,n_pass,n_blocked_runs,n_undeserved_passes,refute_confirms,refute_refutes,refute_unanimous,headline
v2--ansible-hardened-lamp,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;unstated_convention;flaky_nondeterministic;weak_tests,high,True,True,partially,yes,15,13,2,0,3,0,True,"All 15 rollouts delivered an equivalent compliant end state, but r01's container was provisioned without tasks/validate.yml — the only place the module parameter names the verifier greps for are written — and r14 was zeroed for naming its entrypoint run_module() instead of main(); both zeros measure module-interface trivia, not the hardening work."
v2--ansible-playbook-debug,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;specification_ambiguity_or_unstated_requirement;overstrict_or_brittle_grader,broken_harness_or_env;impossible_or_contradictory;unstated_convention;single_path_enforced,high,True,True,mostly,no,15,0,15,0,2,1,False,"The verifier's hard gate is a full `ansible-playbook` run whose very first task is `apt: update_cache: yes` — and `apt-get update` cannot succeed in this sandbox fleet, so no solver (not even the shipped reference) can score above 0, while 13/15 rollouts delivered the exact oracle diff."
v2--api-conformance-repair,v2,confirmed_defect,false_negative,none,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target,broken_harness_or_env;impossible_or_contradictory,high,False,True,mostly,,15,0,15,0,3,0,True,"Following the instruction's own mandated step (`pip install schemathesis`) installs pytest 9 plus a pytest11 plugin importing `_pytest.subtests`; tests/test.sh then force-downgrades pytest to 8.3.4, so `python3 -m pytest` crashes at plugin autoload with exit 1 before collecting a single test — reward 0.0 regardless of the repair."
v2--apophis-bplane-analysis,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;impossible_or_contradictory;weak_tests,high,True,True,partially,partially,15,11,4,0,2,0,True,"All four zero-reward rollouts wrote artifacts that pass all 16 assertions; their containers had JPL egress killed at the TLS layer, and the verifier's own module-scoped fixture makes a live GET to that same unreachable host, so a perfect solution (including the reference) scores 0.0 there."
v2--aquifer-response-identification,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,unrecoverable_or_hidden_target;broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,impossible_or_contradictory;broken_harness_or_env;unstated_convention;weak_tests,high,True,True,partially,,15,0,12,0,3,0,True,"The head.csv baked into the shipped image is far noisier than the data the verifier was calibrated against, so the hidden `assert evp > 80.0` is unreachable by any of the three prescribed models (all cap at 71.09%) — the packaged reference solution itself would fail, and 12 of 15 rollouts were zeroed on that single assertion despite recovering the documented ground-truth parameters."
v2--async-protocol-verification,v2,confirmed_defect,false_negative,none,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement,broken_harness_or_env;unstated_convention,high,False,True,mostly,no,14,0,14,0,3,0,True,"tests/test_state.py imports the reference implementation from /solution at module scope, a path absent from the verification container, so pytest errors during collection (exit 2) and every rollout — including 14 that produced byte-exact reference results and a valid 192/1584 DOT — is scored 0.0."
v2--atlas-migration-repair,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;weak_tests,high,True,True,mostly,no,11,9,2,0,3,0,True,"Concurrent rollout containers share a PID/network namespace, so only one container's postgres can bind :5432 — losers silently do all their DDL inside a co-tenant's database and are scored 0 (r05, r07) while their own app_db stays pre-migration; the reference solve.sh would fail identically."
v2--autoedge-graph-compiler,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;flaky_or_nondeterministic;specification_ambiguity_or_unstated_requirement,broken_harness_or_env;impossible_or_contradictory;flaky_nondeterministic;unstated_convention,high,False,True,mostly,no,15,14,1,0,3,0,True,"The v2 environment is clean and correctly graded for 14 rollouts, but r01 ran against a stale v1 container image (spec.md/format.md/Go reference/buggy compiler all predate autogrouping, state conflicts and removed/purged states) while being graded by the v2 verifier, so its 0.0 was unattainable-by-design rather than earned."
v2--avl-invariant-repair,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;weak_tests,high,True,True,mostly,no,15,14,1,0,2,0,True,"r01 was handed a stale container whose /app/avl.py stops at `is_in` and contains none of the split/join/set-operation layer the verifier imports, so its 0.0 was unattainable-by-construction; the other 14 passes are fully earned, though the balance half of the grade is evaluated by the solver's own avl()/is_ord()."
v2--backdoor-dh-exploit,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;unstated_convention;flaky_nondeterministic;weak_tests,high,True,True,mostly,partially,14,12,1,0,3,0,True,r01's container was built from an older image that lacks /app/challenge/audit_format.json — the only in-container source of the exact enum vocabulary the verifier demands — so a run that did the complete cryptanalysis and derived both flags scored 0.0 for using labels it had no way to learn.
v2--bathymetric-anomaly-pipeline,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;unstated_convention;weak_tests,high,True,True,partially,yes,15,14,1,0,3,0,True,"The sole failing rollout (r01) ran against a stale container image whose /app/pipeline.py was a different 116-line file with no Stage 6/7 spec comments and none of the 7 bandpass/census result keys the verifier hard-requires, making its 0.0 an environment-induced false negative; separately, the verifier grades only the solver-written results.json, so a fabricated constants file would also score 1.0 (latent, unexercised)."
v2--bedtools-regulatory-landscape,v2,confirmed_defect,false_negative,none,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;weak_tests,high,False,True,mostly,no,15,14,1,0,3,0,True,"r01 was graded against a /data/notes.txt it never had: its container shipped the pre-rebuild 2223-byte notes (Jun 13 10:54) that specifies plain CpG overlap and non-stranded TF counting, while the verifier enforces the >=50%-of-island and same-strand rules added in the 2455-byte revision (Jun 13 11:12) that all 14 passing rollouts received."
v2--benchmark-ert-analysis,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;unstated_convention;weak_tests,high,True,True,mostly,no,15,14,1,0,3,0,True,"r01 was served a stale container image whose /app/schema.json (28 lines, 4 sections) and /app/properties.json (P1-P7) omit the vbs_ert / algorithm_selection / performance_profile sections that the verifier demands and that the instruction never names, so a fully correct solve scored 0.0 on section naming alone."
v2--bqskit-custom-pipeline,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;weak_tests,high,True,True,mostly,partially,15,11,4,0,3,0,True,"All four zero-reward rollouts delivered code that is semantically identical (in places diff-identical modulo comments) to the eleven that scored 1.0, and the four failures cluster perfectly on a single rollout date (2026-06-28), so the zeros track the grading batch, not the work."
v2--bracket-order-backtest,v2,confirmed_defect,false_negative,none,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target,broken_harness_or_env;impossible_or_contradictory,high,False,True,mostly,no,15,0,15,0,3,0,True,"tests/test.sh generates its ground truth by running /solution/backtest_fixed.py, but the grader uploads only tests/ to /tests and never creates /solution, so /tmp/reference_results.json is always missing and pytest exits 1 (reward 0.0) even for a byte-perfect solve — all 15 rollouts produced the exact reference numbers and all scored 0."
v2--brat-annotation-scorer,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;flaky_nondeterministic;weak_tests,medium,True,True,mostly,no,15,14,1,0,3,0,True,"The one zero-reward rollout ran against a stale build of the unversioned docker tag whose /app/spec.md and /app/pipeline.sh describe only strict/lenient (zero mentions of ""weighted"" or ""error_analysis"" anywhere in its transcript), so the v2 verifier's weighted-mode and error-analysis assertions were unattainable in that container; the other 14 rollouts, on the correct image, all earned genuine 1.0s."
v2--cec-benchmark-debugger,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;unstated_convention;weak_tests,high,True,True,mostly,no,15,14,1,0,2,0,True,"The single failing rollout ran against an older image whose /app/spec.md omitted the effect-size and bootstrap sections entirely — its numbers were all correct, including the bootstrap frequencies, and it failed only on schema keys its spec never documented."
v2--cheminformatics-screening,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;unstated_convention;weak_tests,high,True,True,mostly,no,15,8,1,0,3,0,True,"Run r01 was launched against a stale container image whose /app/spec.md and /app/pipeline.py describe only FOUR sections (no RRF consensus, no activity_cliffs), while the fixed verifier requires five — making reward 0 unattainable for it no matter how good the solve; separately, a third of the graded work (virtual_screening) is never numerically checked."
v2--chimera-crypto-break,v2,ambiguous,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;unstated_convention;weak_tests,medium,True,True,mostly,partially,15,11,1,0,3,0,True,"The task as shipped is well specified and correctly graded (11 earned passes on an unbluffable SHA256 gate), but r01 ran against a stale container image whose audit_brief.txt lacked the recommended_fix schema and the entire generate_secure_keypairs API spec the verifier demands, so its 0.0 was unearnable."
v2--climate-zarr-pipeline,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,specification_ambiguity_or_unstated_requirement;broken_harness_or_environment;overstrict_or_brittle_grader;leaky_or_underconstrained_grader,unstated_convention;broken_harness_or_env;single_path_enforced;weak_tests,high,True,True,mostly,no,15,0,7,0,3,0,True,"The container ships no zarr, so every solver's `pip install zarr` yields 3.2.1 and writes a Zarr v3 store that the verifier's pinned zarr 2.18.2 physically cannot open — I reproduced it: the reference pipeline scores 31/31 when the writer is zarr 2.18.2 and 9/31 (reward 0.0) when it is zarr 3.2.1, with byte-identical results.json."
v2--coach-language-engine,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;unstated_convention;flaky_nondeterministic;weak_tests,high,True,True,mostly,no,15,14,1,0,3,0,True,"Two different /app/spec.md files were mounted across rollouts of the same task: r01's copy explicitly said the clang_parse JSON schema was ""your design decision"", the other 14 contained a ""### JSON AST Schema"" section pinning type/name/body/activations/target — and the verifier hardcodes those exact keys, so r01's byte-perfect solution scored 0.0 for using the freedom its own spec granted."
v2--codeql-custom-queries,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,specification_ambiguity_or_unstated_requirement;broken_harness_or_environment;flaky_or_nondeterministic;leaky_or_underconstrained_grader,unstated_convention;broken_harness_or_env;flaky_nondeterministic;weak_tests,high,True,True,partially,no,15,4,11,0,3,0,True,"All 15 rollouts produced the same correct 5-finding miniframe query pack; the 11 that scored 0 differ only in that the CodeQL package registry happened to be reachable during their episode, so their documented `codeql pack install` pinned a HOME-local pack cache the verifier's independent re-run cannot resolve."
v2--compiler-aliasing-fix,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;weak_tests,high,True,True,partially,,15,0,14,0,3,0,True,"The grader's assembly parser cannot recognize any Clang function label, so its ground truth for ""clang vectorizes kernel_optimized"" is hardwired False and every honest solver that reports the true value fails the all-or-nothing suite."
v2--compiler-optimization-audit,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;unstated_convention;weak_tests,high,True,True,mostly,no,15,14,1,0,2,0,True,"The one failing rollout (r01) was served a stale /app/schema.json naming the fill_multiples boolean `has_add_induction_variable` while tests/test_state.py:202 reads `has_compiler_introduced_add`, so obeying the instruction (""answer every field defined in /app/schema.json"") guaranteed a KeyError and, under all-or-nothing reward, zeroed otherwise-perfect work."
v2--conjunction-screening,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;impossible_or_contradictory;weak_tests,high,True,True,mostly,no,15,12,3,0,3,0,True,"In 4 of 15 container instantiations the OSTk data cache the task text guarantees is ""pre-populated"" contained only manifest.json and the Git-LFS host serving the missing kernels was blocked, so `import ostk.astrodynamics` — and therefore tests/test_state.py:14-19 and the packet's own reference solution — crashed at collection (test_exit=2), zeroing three runs whose numbers were in fact correct to ~1e-8 km."
v2--constraint-layout-solver,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;weak_tests,high,False,True,mostly,no,11,10,1,0,3,0,True,"The single failing rollout (r01) was run against a stale v1 container image whose types.py has no Leaf/Container, whose DB has no compose_cases, and whose oracle has no compose mode at all — roughly 40% of the graded surface was physically absent, so the v2 verifier's 0.0 measures image drift on a mutable docker tag, not the agent."
v2--content-defined-chunking,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;weak_tests,high,True,True,mostly,no,15,14,1,0,3,0,True,"r01 was handed a stale 12-test skeleton from the mutable docker tag while the mounted verifier greps /app/src/lib.rs for 14 test-name literals, so a genuinely correct Gear-CDC implementation that passed every test present in its container scored 0.0."
v2--conway-polyhedra-bmesh,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;unstated_convention;weak_tests,high,True,True,mostly,partially,15,14,1,0,3,0,True,"r01's container was seeded with a different, broken /app/polyhedra.py (no canary header, conway_truncate missing its whole vertex-cap face family, dual non-manifold, hull triangulation never dissolved), so a correct primitive k/j/e implementation scored 0.0 on ~74 regression checks of pre-existing code the instruction never asks about — while the instruction's one load-bearing constraint (""primitive, not composed"") is verified nowhere."
v2--crack-tuf-keys,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;specification_ambiguity_or_unstated_requirement;overstrict_or_brittle_grader;leaky_or_underconstrained_grader,broken_harness_or_env;unstated_convention;single_path_enforced;weak_tests,high,True,True,mostly,no,14,0,9,0,3,0,True,"At least five rollouts left container states that pass all 22 tests under the exact cryptography version test.sh pins (42.0.5) yet scored 0.0 — the graded outcome matches the image's older cryptography 41.0.7, where PSS.MAX_LENGTH verification is an exact-salt check that rejects the standard TUF salt_length=32 signatures every solver produced."
v2--crosshair-contract-verify,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;impossible_or_contradictory;weak_tests,high,True,True,mostly,partially,14,13,1,0,2,0,True,"In 1 of 14 containers the task file shipped truncated — /app/algorithms.py and /opt/task_data/algorithms.py were both a 6-function, 2888-byte file missing count_inversions and max_subarray_sum (canonical is 3914 bytes, 8 functions) — making the graded task unreachable for r01, which did everything achievable and still scored 0."
v2--cudabench-reference-pipeline,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;flaky_nondeterministic;weak_tests,high,True,True,mostly,no,14,13,1,0,3,0,True,"The task ships from a mutable docker tag with replay_dockerfile=false, and r01's container (2026-06-14) served the unmodified NVIDIA-sample kernels with no ANISO_Z/Y/X, no DIVIDEND and no WINDOW defines, making the constants the verifier hardcodes literally unrecoverable — r01 implemented exactly what its source specified and was scored 0."
v2--cva-swap-pipeline,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader;specification_ambiguity_or_unstated_requirement,broken_harness_or_env;impossible_or_contradictory;weak_tests;unstated_convention,high,True,True,poorly,yes,12,0,8,0,3,0,True,"The pinned docker image ships a completely different input dataset (a 2009 ISDA CDS book) than the instruction and tests describe, so four assertions KeyError on the market_data fixture no matter what any solver writes — I verified the task is unpassable at 45/49 max, while a fabricated constants-only results.json scores 49/49 when the correct market data is present."
v2--dataflash-log-forensics,v2,confirmed_defect,false_negative,none,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;flaky_or_nondeterministic;specification_ambiguity_or_unstated_requirement,broken_harness_or_env;impossible_or_contradictory;flaky_nondeterministic;unstated_convention,high,False,True,mostly,no,14,13,1,0,2,0,True,"The mutable docker tag served two different environments across the retained set: r01 (2026-06-14) got a truncated 2378-byte safety_spec.json missing the airworthiness, required_actions and fleet-recommendation rules the instruction promises, making its 0.0 unattainable-by-construction, while all 13 runs from 2026-06-21 onward got the fixed 7451-byte spec and passed."
v2--ddsketch-metrics-pipeline,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;weak_tests,high,True,True,mostly,no,14,12,1,0,2,0,True,"r01 alone was given a stale image build whose /app/README.md (1344 bytes) omits the three anomaly-scoring keys the verifier hardcodes, while the instruction delegates the output schema entirely to that README — correct work scored 0.0 purely because of which container the run drew."
v2--ddsketch-percentile-fix,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;impossible_or_contradictory;weak_tests,high,True,True,mostly,no,14,13,1,0,3,0,True,"The single failing run (r01) was graded against a rekey() API that did not exist anywhere in its container: it ran an older build of the mutable docker tag (sketch.py 3290 B, no rekey stub, SPEC.md with no Re-keying section, pipeline.py with one alpha and no rekey call) while the verifier's six TestRekey tests call sketch.rekey(alpha) — an unpinned-image false negative on otherwise complete, correct work."
v2--ddsketch-quantile-pipeline,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;flaky_or_nondeterministic;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;flaky_nondeterministic;weak_tests,high,True,True,partially,partially,14,13,1,0,3,0,True,"r01's container shipped an older /app/schema/output_schema.json that names max_relative_error as the Pareto dimension while the verifier dominates on p99_max_relative_error, so a rollout that followed the instruction's explicitly delegated spec exactly was scored 0.0; separately, the suite never checks the pipeline fix or the benchmark numbers against ground truth."
v2--debug-codec-scrambler,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;impossible_or_contradictory;leaky_answer_in_env,high,True,True,mostly,no,14,13,1,0,3,0,True,"Grading logic is sound and demanding, but r01 ran in a stale container image missing the block_sync stub, spec Section 7, and the testbench's entire Part C — making Part 2's required port interface unobtainable and its 0.0 an environment-caused false negative."
v2--debug-cql-engine,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;specification_ambiguity_or_unstated_requirement;leaky_or_underconstrained_grader,broken_harness_or_env;flaky_nondeterministic;unstated_convention;weak_tests,high,True,True,mostly,partially,14,13,1,0,2,0,True,"One of 14 containers was provisioned with a 20-patient dataset instead of 24, and because test_state.py:91-94 hardcodes `patients_tested == 24 and patients_passing == 24`, the one rollout that did complete, honest work (r01) could only have passed by reporting a count that was false in its own container."
v2--debug-tpch-queries,v2,confirmed_defect,false_negative,false_positive,broken_harness_or_environment,broken_harness_or_environment;unrecoverable_or_hidden_target;leaky_or_underconstrained_grader,broken_harness_or_env;impossible_or_contradictory;weak_tests,high,True,True,mostly,no,10,5,5,0,2,0,True,"TASK.md falsely claims the DuckDB sqlite extension is ""pre-installed"" (it is absent from the image), so all 10 rollouts wrote bare `LOAD sqlite`; the 5 that scored 0 produced numerically identical CSVs to the 5 that scored 1.0 and differ only by lacking the `INSTALL sqlite` line the instruction told them was unnecessary."
